lipid,salt conc (mono),salt conc (di),pH,Rh,temp,zeta,sd,ref,notes,,,
EPC,100,0,7.4,198,25,0.5,0.1,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DOTAP/EPC 1:1:1,100,0,7.4,163,25,58,2,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/EPC 1:1:1,100,0,7.4,170,25,40,1,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP 1:1:1,100,0,7.4,170,25,68,3,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,160,25,61,3,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,165,25,62,3,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,163,25,60,2.5,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DOPE/DC-Chol/DOTAP/EPC 1:1:1:1,100,0,7.4,168,25,59,3.5,"Soemaa, Willemsa, Jiskootb, Amorija, Kerstenab, 2015",none,,,
DMPC,0,0,7.4,2500,8,-7.1,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPC,0,0,7.4,2400,18,-8.8,0.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPC,0,0,7.4,1600,35,-18,1.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPC,0,0,7.4,70,8,-7.6,0.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPC,0,0,7.4,70,18,-9.4,0.9,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPC,0,0,7.4,70,35,-20,1.4,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPC,1,0,7.4,4300,8,7.9,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPC,1,0,7.4,5100,18,6.1,0.5,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPC,1,0,7.4,2500,35,-7.5,0.6,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPC,1,0,7.4,70,8,3.1,0.3,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPC,1,0,7.4,70,18,0.5,0.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPC,1,0,7.4,70,35,-10,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPC,1,0,7.4,6200,8,15,0.9,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPC,1,0,7.4,3100,18,11,0.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPC,1,0,7.4,2500,35,-10,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPC,1,0,7.4,70,8,0.61,0.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPC,1,0,7.4,70,18,-0.72,0.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPC,1,0,7.4,70,35,-11,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DPPC,0,0,7.4,9300,18,8.1,0.6,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DPPC,0,0,7.4,3200,38,5.1,0.5,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DPPC,0,0,7.4,850,48,-11,0.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DPPC,0,0,7.4,70,18,2.7,0.3,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DPPC,0,0,7.4,70,38,2.3,0.2,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DPPC,0,0,7.4,70,48,-10,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DPPC,1,0,7.4,7400,18,-3.5,0.3,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DPPC,1,0,7.4,4300,38,-4.8,0.4,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DPPC,1,0,7.4,1300,48,-16,0.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DPPC,1,0,7.4,70,18,0.41,0.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DPPC,1,0,7.4,70,38,-2.6,0.2,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DPPC,1,0,7.4,70,48,-16,1.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DPPC,1,0,7.4,9300,18,0.91,0.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DPPC,1,0,7.4,3300,38,-4.1,0.3,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DPPC,1,0,7.4,910,48,-23,1.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DPPC,1,0,7.4,70,18,-2.3,0.2,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DPPC,1,0,7.4,70,38,-9.1,0.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DPPC,1,0,7.4,70,48,-30,1.5,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPE,0,0,7.4,4600,18,-18,0.9,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPE,0,0,7.4,2600,38,-22,1.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPE,0,0,7.4,550,60,-36,1.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPE,0,0,7.4,70,18,-29,1.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPE,0,0,7.4,70,38,-33,1.6,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPE,0,0,7.4,70,60,-39,1.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",none,,,
DMPE,1,0,7.4,2700,18,-25,1.3,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPE,1,0,7.4,2400,38,-28,1.4,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPE,1,0,7.4,750,60,-34,1.5,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPE,1,0,7.4,70,18,-30,1.8,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPE,1,0,7.4,70,38,-34,1.9,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPE,1,0,7.4,70,60,-42,2.1,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: Kcl,,,
DMPE,1,0,7.4,2500,18,-25,1.3,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPE,1,0,7.4,2100,38,-28,1.4,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPE,1,0,7.4,860,60,-35,1.4,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPE,1,0,7.4,70,18,-24,1.4,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPE,1,0,7.4,70,38,-30,1.7,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
DMPE,1,0,7.4,70,60,-38,1.9,"Morini, Sierra, Pedron, Alarcon, Appignanesi, Disalvo, 2015",salt: KClO4,,,
POPC,100,0,7.4,58,25,-5,0.75,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 95:5,100,0,7.4,58,25,-11.5,1.3,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 90:10,100,0,7.4,58,25,-16.5,1.5,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 85:15,100,0,7.4,58,25,-21,1.5,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 82:18,100,0,7.4,58,25,-23.5,0.75,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 80:20,100,0,7.4,58,25,-25,0.3,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 79:21,100,0,7.4,58,25,-27,0.5,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 76:24,100,0,7.4,58,25,-29,1,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 68:32,100,0,7.4,58,25,-33,1,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 55:45,100,0,7.4,58,25,-37.5,1,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
POPC/POPG 34:66,100,0,7.4,58,25,-43,1.5,"Markones, Drechsler, Kaiser, Kalie, Heerklotz, Fiedler, 2018",none,,,
DPPC,10,0,7.6,70,25,-3.2,1.2,"Sek, Perczyk, Wydro, Gruszecki, Szczes, 2021",salt: Kcl,,,
DPPC,10,0,7.6,70,25,-4.3,0.7,"Sek, Perczyk, Wydro, Gruszecki, Szczes, 2021",salt: Kcl,,,
POPC/POPG 90:10,0,0,7.5,60,25,-49.5,,"Svirina, Terterov, 2020",none,,,
DOTAP/DOPE 10:5,0,0,7.5,57.8,25,46.8,5.8,"Bellefroid, Reuschb et al, 2021",nachol/ethanol in buffer,,,check
DOTAP/DOPE 1:1,0,0,7.5,57.5,25,43.9,7.9,"Bellefroid, Reuschb et al, 2021",nachol/ethanol in buffer,,,check
DC-Chol/DOPE 10:5,0,0,7.5,45.1,25,56.4,1.7,"Bellefroid, Reuschb et al, 2021",nachol/ethanol in buffer,,,check
DC-Chol/DOPE 1:1,0,0,7.5,64.5,25,54.4,8.6,"Bellefroid, Reuschb et al, 2021",nachol/ethanol in buffer,,,check
DC-Chol/DOPE/DSPE 10:5:5,0,0,7.5,43.5,25,52.9,3.3,"Bellefroid, Reuschb et al, 2021",nachol/ethanol in buffer,,,check
DMPC,5,0,7.4,200,13,-11.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,10,0,7.4,200,13,-8,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,20,0,7.4,200,13,-5.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,40,0,7.4,200,13,-3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,60,0,7.4,200,13,-2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,80,0,7.4,200,13,-0.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,100,0,7.4,200,13,1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,125,0,7.4,200,13,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,154,0,7.4,200,13,2,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,5,0,7.4,200,23,-24.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DMPC,10,0,7.4,200,23,-11.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
